Sample Name	Extract Name	Protocol REF	Protocol REF	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Hybridization Assay Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Protocol REF	Normalization Name	Derived Array Data File	Protocol REF	Parameter Value[Raw Intensities Table]	Parameter Value[Normalized Expression Table]	Parameter Value[differential expression analysis data]
GSM575992 extract 1	GSM575992 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575992 LE 1	Cy3			nucleic acid hybridization	GSM575992	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575992.txt	normalization data transformation	GSM575992_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575991 extract 1	GSM575991 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575991 LE 1	Cy3			nucleic acid hybridization	GSM575991	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575991.txt	normalization data transformation	GSM575991_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575990 extract 1	GSM575990 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575990 LE 1	Cy3			nucleic acid hybridization	GSM575990	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575990.txt	normalization data transformation	GSM575990_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575989 extract 1	GSM575989 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575989 LE 1	Cy3			nucleic acid hybridization	GSM575989	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575989.txt	normalization data transformation	GSM575989_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575988 extract 1	GSM575988 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575988 LE 1	Cy3			nucleic acid hybridization	GSM575988	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575988.txt	normalization data transformation	GSM575988_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575987 extract 1	GSM575987 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575987 LE 1	Cy3			nucleic acid hybridization	GSM575987	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575987.txt	normalization data transformation	GSM575987_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575986 extract 1	GSM575986 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575986 LE 1	Cy3			nucleic acid hybridization	GSM575986	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575986.txt	normalization data transformation	GSM575986_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575985 extract 1	GSM575985 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575985 LE 1	Cy3			nucleic acid hybridization	GSM575985	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575985.txt	normalization data transformation	GSM575985_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575984 extract 1	GSM575984 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575984 LE 1	Cy3			nucleic acid hybridization	GSM575984	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575984.txt	normalization data transformation	GSM575984_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575983 extract 1	GSM575983 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575983 LE 1	Cy3			nucleic acid hybridization	GSM575983	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575983.txt	normalization data transformation	GSM575983_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575982 extract 1	GSM575982 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575982 LE 1	Cy3			nucleic acid hybridization	GSM575982	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575982.txt	normalization data transformation	GSM575982_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575981 extract 1	GSM575981 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575981 LE 1	Cy3			nucleic acid hybridization	GSM575981	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575981.txt	normalization data transformation	GSM575981_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575980 extract 1	GSM575980 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575980 LE 1	Cy3			nucleic acid hybridization	GSM575980	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575980.txt	normalization data transformation	GSM575980_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575979 extract 1	GSM575979 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575979 LE 1	Cy3			nucleic acid hybridization	GSM575979	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575979.txt	normalization data transformation	GSM575979_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575978 extract 1	GSM575978 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575978 LE 1	Cy3			nucleic acid hybridization	GSM575978	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575978.txt	normalization data transformation	GSM575978_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575977 extract 1	GSM575977 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575977 LE 1	Cy3			nucleic acid hybridization	GSM575977	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575977.txt	normalization data transformation	GSM575977_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575976 extract 1	GSM575976 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575976 LE 1	Cy3			nucleic acid hybridization	GSM575976	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575976.txt	normalization data transformation	GSM575976_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575975 extract 1	GSM575975 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575975 LE 1	Cy3			nucleic acid hybridization	GSM575975	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575975.txt	normalization data transformation	GSM575975_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575974 extract 1	GSM575974 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575974 LE 1	Cy3			nucleic acid hybridization	GSM575974	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575974.txt	normalization data transformation	GSM575974_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575973 extract 1	GSM575973 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575973 LE 1	Cy3			nucleic acid hybridization	GSM575973	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575973.txt	normalization data transformation	GSM575973_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575972 extract 1	GSM575972 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575972 LE 1	Cy3			nucleic acid hybridization	GSM575972	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575972.txt	normalization data transformation	GSM575972_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575971 extract 1	GSM575971 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575971 LE 1	Cy3			nucleic acid hybridization	GSM575971	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575971.txt	normalization data transformation	GSM575971_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575970 extract 1	GSM575970 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575970 LE 1	Cy3			nucleic acid hybridization	GSM575970	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575970.txt	normalization data transformation	GSM575970_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575969 extract 1	GSM575969 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575969 LE 1	Cy3			nucleic acid hybridization	GSM575969	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575969.txt	normalization data transformation	GSM575969_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575968 extract 1	GSM575968 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575968 LE 1	Cy3			nucleic acid hybridization	GSM575968	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575968.txt	normalization data transformation	GSM575968_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575967 extract 1	GSM575967 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575967 LE 1	Cy3			nucleic acid hybridization	GSM575967	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575967.txt	normalization data transformation	GSM575967_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575966 extract 1	GSM575966 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575966 LE 1	Cy3			nucleic acid hybridization	GSM575966	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575966.txt	normalization data transformation	GSM575966_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575965 extract 1	GSM575965 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575965 LE 1	Cy3			nucleic acid hybridization	GSM575965	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575965.txt	normalization data transformation	GSM575965_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575964 extract 1	GSM575964 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575964 LE 1	Cy3			nucleic acid hybridization	GSM575964	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575964.txt	normalization data transformation	GSM575964_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575963 extract 1	GSM575963 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575963 LE 1	Cy3			nucleic acid hybridization	GSM575963	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575963.txt	normalization data transformation	GSM575963_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
GSM575962 extract 1	GSM575962 extract 1	Nucleic Acid Extraction Protocol	Labeling	GSM575962 LE 1	Cy3			nucleic acid hybridization	GSM575962	AGILENT WholeGenome 4x44k v1	feature extraction	data collection	GLDS-155_microarray_GSM575962.txt	normalization data transformation	GSM575962_sample_table.txt norm	GLDS-155_microarray_E-GEOD-23515.processed.1.zip	GeneLab microarray data processing protocol	GLDS-155_array_raw_intensities_GLmicroarray.csv	GLDS-155_array_normalized_expression_GLmicroarray.csv	GLDS-155_array_SampleTable_GLmicroarray.csv,GLDS-155_array_contrasts_GLmicroarray.csv,GLDS-155_array_differential_expression_GLmicroarray.csv
